,lr-rgb,lr-hsv,lr-cielab,plsr-rgb,plsr-hsv,plsr-cielab,rf-rgb,rf-hsv,rf-cielab,svr-rgb,svr-hsv,svr-cielab,nn-rgb,nn-hsv,nn-cielab
lucas-0-0,0.239917793,0.333394759,0.261422482,0.234545685,0.33295079,0.25983189,0.6155520924875876,0.663331586059621,0.6409745061703511,0.548080815,0.590203991,0.567852033,0.689068345,0.696584364,0.685502856
lucas-0-1,0.259150732,0.354096428,0.284277282,0.259139182,0.353221192,0.284157647,0.6756782200733873,0.7501711924727057,0.7094172487409387,0.616857592,0.663248816,0.649964829,0.759855828,0.768754426,0.763946095
lucas-0-2,0.222324036,0.297891431,0.246166934,0.21844854,0.295474236,0.244082257,0.5608861759527547,0.6413853108647796,0.5816683272110696,0.426263403,0.535109551,0.49311539,0.630905409,0.67185624,0.644718156
lucas-0-3,0.250086196,0.341640212,0.273052448,0.248370891,0.341688642,0.273342834,0.6345621838784885,0.7375922186766353,0.6631450410701956,0.566202928,0.641222743,0.574067689,0.713556326,0.761702612,0.73763718
lucas-0-4,0.239519149,0.322020453,0.263238491,0.238250903,0.321810781,0.263053913,0.6358472929503063,0.6776171402206207,0.658926468045192,0.556693832,0.62021583,0.598957117,0.704132893,0.715029352,0.709424962
lucas-0-5,0.22835367,0.314066303,0.251725883,0.221981957,0.313351531,0.249114808,0.5272678874734922,0.6346803618473447,0.5439702542027087,0.492838651,0.549341468,0.520631246,0.628236576,0.638515596,0.626985613
lucas-0-6,0.24302451,0.337226299,0.267344641,0.238626964,0.338470633,0.266416483,0.6243624346052514,0.7731434657540462,0.6901024263188134,0.601094097,0.692363275,0.658232366,0.741147722,0.77338852,0.767760407
lucas-0-7,0.255765672,0.352000044,0.287238401,0.252431542,0.349442681,0.284083449,0.6523687996504582,0.7329812975000977,0.6963080958858469,0.590529049,0.650664109,0.627632528,0.737683343,0.756642309,0.743496582
lucas-0-8,0.250969853,0.353616371,0.278016481,0.24713196,0.350680405,0.275146475,0.6066867556093194,0.6753201175472002,0.6503067321432416,0.535976258,0.613998048,0.577688321,0.685981573,0.726415456,0.706699636
lucas-0-9,0.256474575,0.353391281,0.285549824,0.252842292,0.35301819,0.283645408,0.6798708019458,0.7977732473858983,0.7166227437113193,0.623865709,0.699229749,0.677331567,0.762248707,0.794686453,0.774030812
raca-0-0,0.234065943,0.262231333,0.238210929,0.227056208,0.262871653,0.23521932,0.40020392132346483,0.4524440710078934,0.4030788540179938,0.396443504,0.410787587,0.40032121,0.423700428,0.448928837,0.441158023
raca-0-1,0.224340618,0.245774465,0.232305922,0.221630756,0.243824731,0.230109494,0.384291912425883,0.41662102835615245,0.4038522430895869,0.387513525,0.389552246,0.391063609,0.41330003,0.43223178,0.431276161
raca-0-2,0.22499783,0.251430118,0.234477928,0.225152944,0.249977819,0.232139764,0.39943661459756463,0.39972649555614326,0.3985929391888683,0.406576202,0.407719985,0.393375309,0.412292303,0.416359401,0.415752633
raca-0-3,0.238087005,0.271427204,0.242598678,0.234168434,0.271053644,0.236708527,0.4261463499234376,0.4435045042636432,0.4228273274027844,0.421137873,0.433902191,0.409830521,0.438883006,0.452502175,0.447397408
raca-0-4,0.238226418,0.259792244,0.246064593,0.236039575,0.257083284,0.246143974,0.41529230431839936,0.44006690402864246,0.4080713569681773,0.407119431,0.419301678,0.393883055,0.411475588,0.434129762,0.423025183
raca-0-5,0.216359301,0.246867093,0.219871966,0.210630673,0.248173816,0.216659513,0.3655709180717345,0.4098973364867152,0.3664691544113783,0.374154362,0.379430549,0.382790249,0.380482445,0.409372227,0.405525825
raca-0-6,0.24457931,0.263137267,0.25358059,0.24266623,0.262085624,0.254061988,0.41167582860228114,0.42254450474101735,0.40329612050520447,0.395350454,0.390621548,0.402412899,0.410183444,0.414787746,0.428971614
raca-0-7,0.245766566,0.27010547,0.253334357,0.245080916,0.269763955,0.253940035,0.38083637938012427,0.43174011026126313,0.3967756523249082,0.385577857,0.390778667,0.394360358,0.40178507,0.426758146,0.424494856
raca-0-8,0.242526678,0.262293364,0.250348728,0.240018568,0.261447519,0.249887008,0.3910904481871712,0.41591208103863286,0.4014239050611751,0.378977343,0.381266061,0.387981662,0.408784315,0.419465838,0.42431679
raca-0-9,0.22871176,0.238473397,0.233602473,0.228966206,0.233620018,0.229730442,0.39935633738824505,0.41275284828663283,0.4088564925430014,0.408153138,0.406801848,0.40490318,0.414832979,0.429973921,0.43341863
ossl-0-0,0.187114603,0.194034954,0.201168628,0.18668753,0.194953884,0.201154035,0.44939945443435925,0.6264495714949905,0.5173738398801331,0.454345368,0.57520109,0.545813156,0.672588554,0.709863372,0.655671983
ossl-0-1,0.211664772,0.220926993,0.222944688,0.21194071,0.220884457,0.222422055,0.5068960811416462,0.7180233974123361,0.5660696583876983,0.510177423,0.640052481,0.595801296,0.718626485,0.746679658,0.704510814
ossl-0-2,0.205608011,0.225819412,0.220304021,0.20522375,0.226197469,0.220173127,0.4796622638341498,0.7012182199860113,0.5593873203177019,0.49680434,0.635776343,0.592421337,0.706260529,0.751501183,0.725796454
ossl-0-3,0.195231028,0.22985222,0.207708198,0.195271601,0.229110642,0.207263046,0.46948588258569224,0.6943535763061268,0.5476567336134897,0.476296488,0.625603931,0.586674824,0.718119386,0.752805638,0.719495905
ossl-0-4,0.209683841,0.24162449,0.223355515,0.209517305,0.241426393,0.223068173,0.5149114877226619,0.7012259859583676,0.5618498302877227,0.493516085,0.637387524,0.599428949,0.716734333,0.736590615,0.713627303
ossl-0-5,0.206384812,0.232544711,0.21999035,0.204858292,0.232309252,0.220191297,0.48206136538864364,0.6682601069265798,0.548990890075292,0.485746694,0.616510438,0.558030992,0.690114071,0.704052944,0.681765486
ossl-0-6,0.205130267,0.201020575,0.220374932,0.203529598,0.200939052,0.220456298,0.4761604600559931,0.6871255293676811,0.5648709870990603,0.509800153,0.62742815,0.610767949,0.702808236,0.727060155,0.715501534
ossl-0-7,0.184873154,0.21785995,0.198719163,0.182662139,0.217098413,0.199040908,0.4717214414577342,0.6492301886963311,0.5393209609998462,0.476006196,0.593980814,0.572987729,0.703146048,0.716698523,0.680648648
ossl-0-8,0.186312058,0.219798456,0.195477314,0.185586958,0.218405183,0.195025292,0.46908324360633347,0.6617225699185623,0.537156061959348,0.446541879,0.605056681,0.550962559,0.71068676,0.704350803,0.687283975
ossl-0-9,0.187565675,0.203345732,0.206326341,0.184811162,0.203814258,0.207115014,0.47743923421618706,0.6790597752726111,0.5574612960062015,0.488142378,0.610764078,0.575970454,0.681086836,0.713913226,0.688079826
